iter	TotalF1	MultiClass
436	0.6576408634	0.6982949973
437	0.657368966	0.6981263276
438	0.6574785048	0.6978756172
439	0.6579195906	0.6976807446
440	0.6579195906	0.6975864707
441	0.6577625554	0.6975378083
442	0.6576147671	0.6973578963
443	0.6582436375	0.6971099489
444	0.6582095929	0.6969180776
445	0.6584838297	0.6967301067
446	0.6585754935	0.6966350841
447	0.6586522297	0.6964978353
448	0.6587444784	0.6963514386
449	0.6581653831	0.696200751
450	0.6578305621	0.6959981187
451	0.658321868	0.695862572
452	0.6582178398	0.6956631424
453	0.6587803507	0.6953692109
454	0.6586765698	0.695210075
455	0.658833852	0.695141729
456	0.6590024064	0.6950616727
457	0.6591946735	0.6948822154
458	0.6590370213	0.6947937034
459	0.6598868627	0.6945463349
460	0.6599664502	0.6943412404
461	0.6599007221	0.6942513903
462	0.6599012861	0.6941585844
463	0.659709256	0.6941036651
464	0.6605657324	0.6938881468
465	0.6609667035	0.6938258069
466	0.6606237536	0.6937456965
467	0.6602112373	0.6935591734
468	0.6615783107	0.693322856
469	0.661346066	0.6930657239
470	0.6615606147	0.6928366262
471	0.662171412	0.6926753668
472	0.6623921019	0.6925429781
473	0.6625701759	0.6924011901
474	0.6625268831	0.6922961995
475	0.6625910768	0.6921195845
476	0.6621440028	0.6919189073
477	0.6625473239	0.6916794408
478	0.662656594	0.6914903026
479	0.6626263669	0.6913473786
480	0.6626263669	0.6913230204
481	0.662747005	0.6912382786
482	0.6629177784	0.6910206187
483	0.662583839	0.6908634937
484	0.6638275481	0.690639505
485	0.6640065452	0.6904070874
486	0.6645076692	0.6901517404
487	0.6644081137	0.690007822
488	0.6647419384	0.6898126845
489	0.6647993397	0.6896683125
490	0.6654771488	0.6894920178
491	0.6659452801	0.6893109234
492	0.666020184	0.6890479746
493	0.6660875166	0.6887752728
494	0.6662326201	0.6886997834
495	0.6665555166	0.6884526739
496	0.6663883834	0.6883507206
497	0.6659317425	0.688115552
498	0.6661303066	0.687822142
499	0.6667608377	0.687598097
500	0.6669473411	0.6873913691
501	0.6666713859	0.687324227
502	0.6674014904	0.6871802528
503	0.6672456301	0.6869659558
504	0.6675116213	0.6868358811
505	0.6679120503	0.6867046916
506	0.6686452211	0.6865749117
507	0.6678910679	0.6864021278
508	0.667901571	0.6862228043
509	0.6686542894	0.6859283848
510	0.6698196951	0.6857987673
511	0.6696558666	0.6854299756
512	0.6699358464	0.6853398647
513	0.6703678546	0.6851542426
514	0.6702909397	0.6850920471
515	0.6704093854	0.6849528712
516	0.6706086331	0.6847420913
517	0.670267177	0.6846126683
518	0.6705195899	0.6844299218
519	0.6707407917	0.6843813556
520	0.6710167776	0.6841541522
521	0.6711823254	0.6839812869
522	0.6710270681	0.68387453
523	0.6711132639	0.6836651893
524	0.6716633414	0.6836067692
525	0.6716436267	0.6833727961
