iter	TotalF1	MultiClass
883	0.7100033413	0.6288913451
884	0.7098104826	0.6286640515
885	0.7101270966	0.6285115125
886	0.7105089115	0.6284154961
887	0.7101903092	0.6282760851
888	0.7101735922	0.6281469964
889	0.7108293153	0.6279194497
890	0.7106371701	0.6278742146
891	0.7107295052	0.6277264081
892	0.7108852063	0.6275889979
893	0.711043033	0.6275078872
894	0.7108593686	0.6273676486
895	0.7111750979	0.6272249619
896	0.7114992705	0.6270988837
897	0.7113159609	0.6270055065
898	0.7115439425	0.6268822401
899	0.7118081772	0.6268328431
900	0.7119724753	0.626679465
901	0.7120810811	0.6265860875
902	0.7121728933	0.6264826828
903	0.7124629729	0.6263868601
904	0.7126184542	0.6262970766
905	0.7126608076	0.6261217065
906	0.71241361	0.6259980945
907	0.7125519916	0.6258158562
908	0.7127074107	0.6257472744
909	0.7130318663	0.6255878703
910	0.713245117	0.6254746257
911	0.7136030033	0.6253456604
912	0.7140690828	0.6250873949
913	0.7142493337	0.6248546662
914	0.7141826042	0.6247405948
915	0.7140276062	0.6245810956
916	0.7143358369	0.6244140487
917	0.7146959836	0.6243011963
918	0.7145244144	0.6242160551
919	0.7147856898	0.6240597993
920	0.714199006	0.6238385311
921	0.7144278403	0.6235806874
922	0.7146222664	0.6234844901
923	0.7147352544	0.6233118613
924	0.714660054	0.6232252333
925	0.7146222664	0.6230327468
926	0.7149154715	0.6228069471
927	0.7149154715	0.622740787
928	0.7151142855	0.6225789155
929	0.7149572288	0.6223788658
930	0.7145342489	0.6222634535
931	0.714802344	0.6221485659
932	0.714802344	0.6220818787
933	0.7151120483	0.6219829987
934	0.7150885673	0.6219064894
935	0.7152800055	0.6216510147
936	0.7154867654	0.6215252614
937	0.7153318613	0.6213431438
938	0.7154177535	0.6211485452
939	0.715352464	0.6209770618
940	0.7156624036	0.6208669002
941	0.7155764917	0.6206863225
942	0.7159864122	0.6205504316
943	0.7162704698	0.620303583
944	0.7163942779	0.620187947
945	0.7164039392	0.6200918145
946	0.7164748687	0.6199375989
947	0.7166404696	0.6198372232
948	0.7167935523	0.6197535081
949	0.7167935523	0.61965453
950	0.7171416498	0.6194456382
951	0.7171971224	0.6192189986
952	0.7170212331	0.6190368331
953	0.7167259003	0.6188717781
954	0.7168342649	0.6187442194
955	0.7166386342	0.6186167673
956	0.7167968018	0.6185299134
957	0.717494219	0.6183044268
958	0.7177407569	0.618152427
959	0.7174180576	0.6180199435
960	0.7173807676	0.617965869
961	0.7175623325	0.6178549654
962	0.7175623325	0.6177659603
963	0.7177597144	0.6176758542
964	0.71766348	0.6175819788
965	0.7179901744	0.6174270385
966	0.7181898308	0.6173450799
967	0.7181898308	0.6172100366
968	0.7184607816	0.6170764591
969	0.7183897117	0.6170039189
970	0.7182170399	0.6169084032
971	0.7183305154	0.6168426087
972	0.718152767	0.6166443908
973	0.7186181177	0.6165448492
974	0.7185471302	0.6163808177
975	0.7188541123	0.6162517932
976	0.7185874787	0.6161906403
977	0.7185258507	0.6160699872
978	0.7185174225	0.615926213
979	0.718796774	0.615809768
980	0.7189009993	0.6156904524
981	0.7191044183	0.6155531181
982	0.7192581441	0.6154370649
983	0.7191069661	0.6152788696
984	0.7190171861	0.615154684
985	0.7184633222	0.6149882776
986	0.7185252664	0.6147912447
987	0.7191040216	0.6146789801
988	0.7190879358	0.6145804586
989	0.7191256887	0.6144583576
990	0.7193929943	0.6143801561
991	0.7197737389	0.6141948268
992	0.7194611122	0.6140790542
993	0.7196174445	0.6140171298
994	0.7195501186	0.6139394061
995	0.7198930232	0.6138161734
996	0.7202029522	0.6137101565
997	0.7198989061	0.6136067657
998	0.7199155852	0.613496047
999	0.7198257918	0.6133310245
