iter	Passed	Remaining
399	51054	76582
400	51184	76457
401	51303	76317
402	51429	76186
403	51552	76053
404	51674	75916
405	51796	75781
406	51919	75647
407	52045	75517
408	52169	75384
409	52284	75239
410	52400	75094
411	52527	74966
412	52650	74832
413	52769	74693
414	52904	74576
415	53039	74459
416	53168	74333
417	53280	74184
418	53400	74046
419	53559	73963
420	53705	73860
421	53872	73787
422	54019	73686
423	54148	73559
424	54272	73427
425	54423	73331
426	54561	73217
427	54687	73087
428	54820	72966
429	54954	72847
430	55088	72727
431	55228	72615
432	55357	72488
433	55471	72342
434	55625	72248
435	55751	72119
436	55886	72000
437	56024	71885
438	56150	71755
439	56271	71617
440	56389	71477
441	56515	71347
442	56654	71234
443	56783	71107
444	56924	70995
445	57105	70933
446	57246	70821
447	57378	70698
448	57510	70574
449	57639	70448
450	57788	70345
451	57916	70217
452	58053	70100
453	58183	69974
454	58307	69840
455	58433	69710
456	58556	69576
457	58686	69449
458	58823	69332
459	58955	69209
460	59077	69073
461	59197	68936
462	59327	68810
463	59448	68673
464	59566	68533
465	59692	68403
466	59834	68290
467	59966	68167
468	60126	68075
469	60247	67938
470	60375	67810
471	60505	67683
472	60628	67550
473	60761	67427
474	60881	67289
475	61009	67161
476	61130	67025
477	61250	66888
478	61377	66759
479	61503	66628
480	61627	66496
481	61759	66372
482	61901	66258
483	62025	66126
484	62148	65992
485	62272	65860
486	62398	65730
487	62530	65605
488	62664	65483
489	62796	65359
490	62932	65239
491	63055	65105
492	63184	64978
493	63314	64852
494	63455	64737
495	63584	64609
496	63710	64479
497	63862	64375
498	63995	64252
499	64122	64122
500	64254	63997
501	64384	63871
502	64510	63741
503	64631	63605
504	64769	63486
505	64900	63361
506	65030	63235
507	65148	63096
508	65266	62958
509	65383	62819
510	65515	62694
511	65640	62563
512	65776	62442
513	65909	62319
514	66041	62194
515	66169	62066
516	66299	61939
517	66423	61807
518	66547	61674
519	66676	61547
520	66810	61424
521	66945	61302
522	67066	61167
523	67182	61028
524	67301	60891
525	67413	60748
