iter	MultiClass
804	0.3544067999
805	0.3542711961
806	0.3540935554
807	0.3540121906
808	0.3538591598
809	0.3537562746
810	0.353699456
811	0.3535873886
812	0.3534967007
813	0.3533571908
814	0.3531455804
815	0.3529809055
816	0.3527598594
817	0.3525966716
818	0.3523705968
819	0.3522023588
820	0.3520715765
821	0.3519288835
822	0.3518105051
823	0.3516073478
824	0.3513792392
825	0.3512481027
826	0.3511567624
827	0.3510814555
828	0.3509332761
829	0.3508633369
830	0.3506802566
831	0.3505679279
832	0.3504366378
833	0.3503227897
834	0.3501261796
835	0.3499809105
836	0.3498472351
837	0.349628284
838	0.3494415406
839	0.3492977621
840	0.3491655663
841	0.3489597117
842	0.3486934938
843	0.3485508576
844	0.3483897554
845	0.3483277897
846	0.3482486077
847	0.3481424825
848	0.3478991516
849	0.3477274452
850	0.3476911672
851	0.3475193263
852	0.3473580039
853	0.3472087826
854	0.3470602712
855	0.3469953336
856	0.3468005901
857	0.3466612406
858	0.3465582259
859	0.3464545442
860	0.3461879353
861	0.346135311
862	0.3458759304
863	0.3457421634
864	0.345612965
865	0.3455133048
866	0.3452864299
867	0.3450137032
868	0.3448345709
869	0.3446345753
870	0.3444696433
871	0.3443705115
872	0.3442733737
873	0.3440980763
874	0.3439666807
875	0.3437807433
876	0.3436810077
877	0.3436406703
878	0.3434821588
879	0.3432977853
880	0.3431470855
881	0.3430574178
882	0.3429965813
883	0.3427858309
884	0.3426815301
885	0.3425606263
886	0.3424618463
887	0.3423473345
888	0.3422017607
889	0.3420781039
890	0.3419742477
891	0.3418016685
892	0.3416800292
893	0.3414864574
894	0.341241887
895	0.3411271607
896	0.3410563353
897	0.3408712904
898	0.3407902386
899	0.3406586085
900	0.3405197417
901	0.3404679011
902	0.3403355874
903	0.340255561
904	0.3400756023
905	0.33993063
906	0.3398228379
907	0.339626933
908	0.3394348063
909	0.339250141
910	0.3390931176
911	0.338962016
912	0.3388057865
913	0.3385595636
914	0.338491009
915	0.3383493602
916	0.338271436
917	0.3381808387
918	0.338070419
919	0.3379460041
920	0.3379242945
921	0.337753408
922	0.3376195787
923	0.337440343
924	0.3373195795
925	0.3370894825
926	0.3369864572
927	0.3367812359
928	0.3366334925
929	0.336516202
930	0.3362760718
931	0.3361383737
932	0.3360275863
933	0.3359377277
934	0.3358010611
935	0.3356127357
936	0.3354729706
937	0.3353957954
938	0.3352365023
939	0.3351280231
940	0.3349178455
941	0.3348983908
942	0.3348247203
943	0.3346977303
944	0.334565074
945	0.3344502115
946	0.3343469588
947	0.3342744972
948	0.3340731329
949	0.3339884027
950	0.3339044846
951	0.3337425044
952	0.3335407201
953	0.3334332646
954	0.3332890453
955	0.3331732117
956	0.3330331449
957	0.3328779319
958	0.3327753518
959	0.3326960602
960	0.3324895524
961	0.3323430987
962	0.3322512889
963	0.3321822724
964	0.3320502983
965	0.3319263011
966	0.3317845616
967	0.3316091147
968	0.3315159269
969	0.3313651478
970	0.3311419515
971	0.3309809844
972	0.3307775284
973	0.3306121737
974	0.3304740091
975	0.3302670904
976	0.330203514
977	0.3300808573
978	0.3299995031
979	0.329812271
980	0.329542586
981	0.3294588776
982	0.3293175938
983	0.3292140658
984	0.3291149555
985	0.329055381
986	0.3289496005
987	0.3287547354
988	0.3286753655
989	0.3284979696
990	0.3283602301
991	0.3282737104
992	0.3281653185
993	0.3280349589
994	0.3278828348
995	0.3277135185
996	0.327602666
997	0.3274153031
998	0.3272077546
999	0.3270384806
